game_id;player_name;opponent_name;turn_number;row;col;result;opponent_ship_positions;winner
71d9dd22;ai;player;22;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;23;4;1;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;24;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;25;5;1;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;26;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;27;2;2;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;28;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;29;1;4;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;30;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;31;1;7;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;32;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;33;5;8;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;34;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
